"","team","pass_cmp","pass_att","pass_yds","pass_td","pass_int","pass_sacked","pass_sacked_yds","pass_long","pass_rating","rush_att","rush_yds","rush_td","rush_long","targets","rec","rec_yds","rec_td","rec_long","fumbles_lost","rush_scrambles","designed_rush_att","comb_pass_rush_play","comb_pass_play","comb_rush_play","Team_abbrev","Opponent_abbrev","two_point_conv","total_ret_td","offensive_fumble_recovery_td","pass_yds_bonus","rush_yds_bonus","rec_yds_bonus","pass_target_yds","pass_poor_throws","pass_blitzed","pass_hurried","rush_yds_before_contact","rush_yac","rush_broken_tackles","rec_air_yds","rec_yac","rec_drops","vis_team","home_team","vis_score","home_score","OT","Roof","Surface","Temperature","Humidity","Wind_Speed","Vegas_Line","Vegas_Favorite","Over_Under","game_date","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","is_blownout","score_diff"
"35","PHI",28,48,255,1,2,3,18,56,133,21,49,1,12,47,28,255,1,98,0,0,21,72,51,21,"PHI","ATL",2,0,0,0,0,1,432,9,5,8,30,19,1,440,80,4,"PHI","ATL",20,24,"False","retractable roof (open)","fieldturf",72,45,0,-1,"PHI",53,"2019-09-15",FALSE,-4,FALSE,-4,FALSE,-4,FALSE,-4,FALSE,-4,FALSE,-4
"36","ATL",27,43,320,3,3,1,10,54,79,17,57,0,41,43,27,320,3,149,0,1,16,61,45,16,"ATL","PHI",0,0,0,1,0,2,399,5,13,5,47,10,0,399,164,2,"PHI","ATL",20,24,"False","retractable roof (open)","fieldturf",72,45,0,-1,"PHI",53,"2019-09-15",FALSE,4,FALSE,4,FALSE,4,FALSE,4,FALSE,4,FALSE,4
"37","SFO",18,26,312,3,1,0,0,55,249,42,259,2,88,26,18,312,3,179,0,2,40,68,28,40,"SFO","CIN",0,0,0,0,1,0,187,6,7,0,137,122,1,187,220,1,"SFO","CIN",41,17,"False","outdoors","grass",81,45,5,-1,"CIN",46,"2019-09-15",FALSE,24,FALSE,24,FALSE,24,FALSE,24,FALSE,24,FALSE,24
"38","CIN",26,42,311,2,1,4,20,66,90,19,25,0,16,42,26,311,2,182,0,0,19,65,46,19,"CIN","SFO",0,0,0,1,0,2,315,7,4,5,14,11,0,315,190,2,"SFO","CIN",41,17,"False","outdoors","grass",81,45,5,-1,"CIN",46,"2019-09-15",TRUE,-24,TRUE,-24,TRUE,-24,TRUE,-24,TRUE,-24,TRUE,-24
"39","CHI",16,27,120,0,0,0,0,25,70,29,153,1,91,27,16,120,0,92,0,0,29,56,27,29,"CHI","DEN",0,0,0,0,0,0,212,4,11,10,125,28,2,212,71,2,"CHI","DEN",16,14,"False","outdoors","grass",87,14,3,-3,"CHI",41,"2019-09-15",FALSE,2,FALSE,2,FALSE,2,FALSE,2,FALSE,2,FALSE,2
"40","DEN",35,50,292,1,1,2,10,24,83,24,90,0,23,50,35,292,1,123,0,0,24,76,52,24,"DEN","CHI",2,0,0,0,0,0,251,9,11,20,66,24,3,250,132,1,"CHI","DEN",16,14,"False","outdoors","grass",87,14,3,-3,"CHI",41,"2019-09-15",FALSE,-2,FALSE,-2,FALSE,-2,FALSE,-2,FALSE,-2,FALSE,-2
"41","DET",22,30,245,2,2,0,0,36,91,28,94,0,45,30,22,245,2,118,0,2,26,58,32,26,"DET","LAC",0,0,0,0,0,1,310,5,7,2,33,61,2,310,80,1,"LAC","DET",10,13,"False","dome","fieldturf",72,45,0,-1,"LAC",47,"2019-09-15",FALSE,3,FALSE,3,FALSE,3,FALSE,3,FALSE,3,FALSE,3
"42","LAC",21,36,293,0,1,1,6,47,73,25,137,1,64,35,21,293,0,150,1,1,24,62,38,24,"LAC","DET",0,0,0,0,0,0,378,4,5,4,36,101,2,371,94,4,"LAC","DET",10,13,"False","dome","fieldturf",72,45,0,-1,"LAC",47,"2019-09-15",FALSE,-3,FALSE,-3,FALSE,-3,FALSE,-3,FALSE,-3,FALSE,-3
"43","MIN",14,32,230,1,2,1,7,61,52,27,198,1,102,27,14,230,1,153,2,2,25,60,35,25,"MIN","GNB",0,0,0,0,1,0,335,6,7,8,85,113,4,295,115,1,"MIN","GNB",16,21,"False","outdoors","grass",72,75,5,-3,"GNB",43,"2019-09-15",FALSE,-5,FALSE,-5,FALSE,-5,FALSE,-5,FALSE,-5,FALSE,-5
"44","GNB",22,34,209,2,0,2,18,39,101,33,144,1,25,31,22,209,2,107,2,0,33,69,36,33,"GNB","MIN",0,0,0,0,1,1,259,5,12,4,115,29,1,230,106,0,"MIN","GNB",16,21,"False","outdoors","grass",72,75,5,-3,"GNB",43,"2019-09-15",FALSE,5,FALSE,5,FALSE,5,FALSE,5,FALSE,5,FALSE,5
